code,date,start,end,room,type,title,speakers,topics,level,url,abstract
CES3422,2026-09-16,15:00,16:00,"Venetian, Titian 2304, level 2",Strategy Talk,BIM Meets Real World: Geospatial Data Integration Best Practices,"Erika Bocian, Principal Consultant, ESRI | Shiori Sasaki, Senior Consultant, Esri",Data Exchange and System Integrations | Geospatial and GIS | Civil infrastructure | AutoCAD | Civil 3D | Forma | Revit | AECO | Infrastructure Owners,Professional,https://conferences.autodesk.com/flow/autodesk/au2026/sessioncatalog/page/sessioncatalog/session/1775579383880001OI4M,"To plan, design, build, and manage projects suited to a more sustainable and resilient future, owners and design teams need spatial context of the built and natural environment in their workflows. The Esri-Autodesk partnership delivers out-of-the-box tools and capabilities that bridge BIM and geographic context, putting location at the center of informed decision making. This session will explore the range of available integration approaches, strategies for enriching existing workflows rather than disrupting them, downstream considerations that also benefit early conceptual design, and real-world governance practices that can make or break a successful integration."
CS1466,2026-09-16,15:00,16:00,"Venetian, Titian 2203, level 2",Technical Deep Dive,"Industrialized Construction Summit | Design Once, Fabricate Many: Scaling Industrialized Construction with Bouygues Construction","Antoine MORIZOT, CAD Engineer, Bouygues Construction | Clair Stone, Customer Adoption Specialist, Autodesk",Construction services | Build | Informed Design | Inventor | Revit | AECO | Industrialized Construction | Cross Industry,Associate,https://conferences.autodesk.com/flow/autodesk/au2026/sessioncatalog/page/sessioncatalog/session/1774449695064001ep1U,"Bouygues is industrializing construction with a multidiscipline modular landing shaft integrating water and electrical systems. We'll demonstrate how Autodesk Informed Design software connects BIM, fabrication, and installation into a seamless workflow. Using a modular MEP cabinet as a real-world case study, attendees will see how a single configurable design can generate fabrication-ready outputs, automate documentation, and ensure consistent quality across projects. We’ll explore the impact of the Informed Design approach: reducing coordination errors, accelerating installation, and enabling scalable prefabrication strategies. We'll highlight how design rules and structured data allow teams to move from project-based delivery to repeatable, productized construction."
CS2019,2026-09-16,15:00,16:00,Innovators Stage,Spark Session,Innovators Stage | Autodesk Forma Jeopardy!,"Danielle Foss, Principal Customer Success Manager, Autodesk",Data and Document Management | Construction services | Build | Cloud Worksharing | Docs | Forma | Model Coordination | AECO | Construction Management,Associate,https://conferences.autodesk.com/flow/autodesk/au2026/sessioncatalog/page/sessioncatalog/session/1775143519578001PiE5,"Calling all game show enthusiasts—come participate in an Autodesk Forma-focused game of Jeopardy, where you can test your knowledge of the platform and pick up new tips and insights. We’ll cover AI capabilities, workflows from planning to operations, newly launched features, and more. This session is for everyone, from Forma novices wanting to learn more to seasoned experts eager to test their skills. Structured like the US game show, audience members can “buzz in” to answer questions, accumulate points, and compete for prizes. In this session, we’ll showcase Autodesk Forma capabilities in an interactive and fun format. Expect to walk away with fresh insights and practical applications to deliver your projects more efficiently."
CS2019-D,2026-09-16,15:00,16:00,Digital AL,Spark Session,Innovators Stage | Autodesk Forma Jeopardy!,"Danielle Foss, Principal Customer Success Manager, Autodesk",Construction services | AECO | Construction Management,,https://conferences.autodesk.com/flow/autodesk/au2026/sessioncatalog/page/sessioncatalog/session/1783610787991001bOvk,"Calling all game show enthusiasts—come participate in an Autodesk Forma-focused game of Jeopardy, where you can test your knowledge of the platform and pick up new tips and insights. We’ll cover AI capabilities, workflows from planning to operations, newly launched features, and more. This session is for everyone, from Forma novices wanting to learn more to seasoned experts eager to test their skills. Structured like the US game show, audience members can “buzz in” to answer questions, accumulate points, and compete for prizes. In this session, we’ll showcase Autodesk Forma capabilities in an interactive and fun format. Expect to walk away with fresh insights and practical applications to deliver your projects more efficiently."
CS3550,2026-09-16,15:00,16:00,"Venetian, Lido 3103, level 3",Strategy Talk - Panel,Did We Build What We Designed? Using AI and Autodesk Forma to Prevent Material Risk and Rework Failures.,"Blake Jackson | Joe Butterworth, Head of Growth, NA, Qualis Flow",Construction services | Build | Forma | AECO | Construction Management,Professional,https://conferences.autodesk.com/flow/autodesk/au2026/sessioncatalog/page/sessioncatalog/session/1775586332279001nwVN,"Construction projects do not fail because of design. They fail when what gets built does not match specifications. Rework costs about 9% of US project budgets—more than $30 billion annually—driven mainly by design errors, omissions, and specification mismatches, worsened by poor data and fragmented communication. Wrong or unverified materials cause rework, delays, disputes, margin loss, and safety risks. This session will show how to intervene earlier by closing the loop between design intent and construction reality using AI and Autodesk Forma. You will see real-time material verification, automatic issue detection, and proactive risk management, with insights from a customer co-presenter."
FTV2362,2026-09-16,15:00,16:00,"Venetian, Bellini 2002, level 2",Technical Deep Dive,Future-Proof Modeling: Building Universal Pipeline Assets with USD in Maya,"Kaan Zorlu, Lead 3D Artist, Leo Production",Film and TV | 3ds Max 2 | Arnold | Maya | M&E | Media & Entertainment,Professional,https://conferences.autodesk.com/flow/autodesk/au2026/sessioncatalog/page/sessioncatalog/session/1775439893711001Hc8r,"Modeling is no longer just about clean quads and edge loops—it’s about data integrity for a global pipeline. As studios transition to OpenUSD, Maya artists must evolve their workflows to ensure assets are portable and performant. In this technical deep dive, we’ll move beyond basic topology to explore the authoring of ""smart"" USD assets. We’ll cover the latest Maya 2026 USD modeling tools, demonstrating how to manage complex hierarchies, variants, and metadata within a single file. You will learn how to optimize meshes for seamless deformation across platforms and avoid common pitfalls in a multisoftware environment. Stop modeling for a single scene—start building assets that thrive in a universal production ecosystem."
MFG1877,2026-09-16,15:00,16:00,"Venetian, Casanova 601, level 1",Strategy Talk,Semiconductor Factory Digital Twin: Information Foundations,"Michael Potts, Director of Architecture & Engineering, Arcadis",Manufacturing Other | Factory Design Utilities | FlexSim | Forma | Inventor | D&M | Digital Factory,Expert,https://conferences.autodesk.com/flow/autodesk/au2026/sessioncatalog/page/sessioncatalog/session/1775068214297001mirT,"This session will provide an overview of the foundational information that is used to develop a semiconductor factory digital twin, including data and formats, 2D graphical information, 3D spatial information, reality capture, and relevant ISO and SEMI industry data and information standards. This foundational information has a lifecycle that spans planning, engineering, fabrication, construction, operation, and manufacturing—and their related technology stacks and AI infrastructure."
MFG2675,2026-09-16,15:00,16:00,"Venetian, Bellini 2105-2106 (Meetup 1), level 2",Meetup,Design and Manufacturing Community Meetup,"Tiffany Hayden, Application Developer, KETIV Technologies Inc. | Chris Benner, Community Manager, Autodesk",Manufacturing Other | AutoCAD Mechanical | AutoCAD P&ID | Fusion | Fusion Manufacturing Extension | Inventor | D&M | Meetup,Not Applicable,https://conferences.autodesk.com/flow/autodesk/au2026/sessioncatalog/page/sessioncatalog/session/1775502032599001bopM,"The design and manufacturing industry is experiencing rapid advancements, driven by innovative technology and evolving market demands. Join us for a meetup where industry professionals will come together to explore how designers and manufacturers are navigating, innovating, and excelling in this dynamic landscape. Tailored for designers, engineers, and other industry professionals, this event will provide a unique opportunity to network, share insights, and discover the latest trends shaping the future of design and manufacturing. Be part of the conversation and engage with fellow experts to collectively push the boundaries of our industry."
POD4916,2026-09-16,15:00,16:00,Podcast Stage,Strategy Talk,Discover Forma: From Site to Building Design,,Architecture services | AECO | Architecture,,https://conferences.autodesk.com/flow/autodesk/au2026/sessioncatalog/page/sessioncatalog/session/1788381124862001zGwq,"Discover how Autodesk Forma is transforming planning and building design. See how Forma Site Design brings AI-powered workflows, real-time analysis, and collaboration to early-stage planning, and how Forma Building Design extends that journey with intuitive modeling, integrated analytics, and connected workflows with Revit."
5008,2026-09-16,15:30,16:30,"Venetian, Foyer, level 1-3",Meal,PM Break,,,,https://conferences.autodesk.com/flow/autodesk/au2026/sessioncatalog/page/sessioncatalog/session/1783372449492001oCHL,"Recharge, refuel, and reconnect during our afternoon break. Enjoy light refreshments designed to give you an energy boost, spark fresh conversations, and help you return to the next session ready to dive back in."
